artist_name,artist_id,brand_id
Guns N' Roses,3qm84nBOXUEQ2vnTfUTTFC,10
Nirvana,6olE6TJLqED3rqDCT0FyPh,10
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,10
Led Zeppelin,36QJpDe2go2KgaRleHCDTp,10
The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,10
Bob Dylan,74ASZWbe4lXaubB36ztrGX,10
Aretha Franklin,7nwUJBm0HE4ZxD3f5cy5ok,10
Queen,1dfeR4HaWDbWqFHLkxsg1d,10
David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,10
Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,10
Pink Floyd,0k17h0D3J5VfsdmQ1iZtE9,10
Michael Jackson,3fMbdgg4jU18AjLCKBhRSm,10
Madonna,6tbjWDEIzxoDsBA1FuhfPW,10
Prince,5a2EaR3hamoenG9rDuVn8j,10
U2,51Blml2LZPmy7TTiAg47vQ,10
Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,10
Sting,0Ty63ceoRnnJKVEYP0VQpk,10
TLC,0TImkz4nPqjegtVSMZnMRq,10
R.E.M.,4KWTAlx2RvbpseOGMEmROg,10
Beyoncé,6vWDO969PvNqNYHIOW5v0m,10
JAY-Z,3nFkdlSjzX9mRTtwJOzDYB,10
Amy Winehouse,6Q192DXotxtaysaqNPy5yR,10
Adele,4dpARuHxo51G3z768sgnrY,10
Taylor Swift,06HL4z0CvFAxyc27GXpf02,10
Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,10
Dire Straits,0WwSkZ7LtFUFjGjMZBMt6T,10
Simon & Garfunkel,70cRZdQywnSFp9pnc2WTCE,10
Fresco Blu,26a92NFeUsnU9NdCHGL6pY,10
The Doors,22WZ7M8sxp5THdruNY3gXt,10
Bee Gees,1LZEQNv7sE11VDY3SdxQeN,10
Alanis Morissette,6ogn9necmbUdCppmNnGOdi,10
Ray Charles,1eYhYunlNJlDoQhtYBvPsi,10
Eagles,0ECwFtbIWEVNwjlrfc6xoL,10
The Police,5NGO30tJxFlKixkPSgXcFE,10
George Harrison,7FIoB5PHdrMZVC3q2HE5MS,10
PSY,2dd5mrQZvg6SmahdgVKDzh,10
Shakira,0EmeFodog0BfCgMzAIvKQp,10
Wyclef Jean,7aBzpmFXB4WWpPl2F7RjBe,10
Luis Fonsi,4V8Sr092TqfHkfAA5fXXqG,10
Daddy Yankee,4VMYDCV2IEDYJArk749S6m,10
The White Stripes,4F84IBURUo98rz4r61KF70,10
Britney Spears,26dSoYclwsYLMAKD3tpOr4,10
a-ha,2jzc5TC5TVFLXQlBNiIUzE,10
Pharrell Williams,2RdwBSPQiwcmiDo9kixcl8,10
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,10
Black Eyed Peas,1yxSLGMDHlW21z4YXirZDS,10
Oasis,2DaxqgrOhkeH0fpeiQq2f4,10
Justin Bieber,1uNFoZAHBGtllmzznpCI3s,10
Gorillaz,3AA28KZvwAUcZuOKwyblJQ,10
Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,10
John Legend,5y2Xq6xcjJb2jVM54GHK3t,10
No Doubt,0cQbJU1aAzvbEmTuljWLlF,10
Sia,5WUlDfRSoLAfcVSX1WnrxN,10
Linkin Park,6XyY86QOPPrYVGvF9ch6wz,10
ABBA,0LcJLqbBmaGUft1e9Mm8HV,10
Survivor,26bcq2nyj5GB7uRr558iQg,10
Rihanna,5pKCCKE2ajJHZ9KAiaK11H,10
Bon Jovi,58lV9VcRSjABbAbfWS6skp,10
4 Non Blondes,0Je74SitssvJg1w4Ra2EK7,10
Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,10
Santana,6GI52t8N5F02MxU0g5U69P,10
Rob Thomas,3aBkeBhwadnWMWoVJ2CxJC,10
Donna Summer,2eogQKWWoohI3BSnoG7E2U,10
