artist_name,artist_id,brand_id
DeeKay,1XoVa4Iq4JIdtSOeRsTRsi,2
Hxzz,7DhyszD4toHMnXQoVdeHbU,2
WXCKY,7F3Lh3KunK7F8XJaxNOUY4,2
Eryxse,6imt6WsSJ4CsmGIynup4wW,2
Lil Pump,3wyVrVrFCkukjdVIdirGVY,2
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,2
Night Lovell,2y246nnP9pQT0E6v3ZMMOO,2
Germ,4OYIkXBBN6ET96coWyWAXh,2
BONES,5v2WhpA59TJSdPh7LCx1lN,2
S3BZS,6zFMFB1JvNHkHvCSudF4id,2
Kordhell,2W6WP4pHQTFlbr2z9S4n54,2
Gvllow,69a2ovTpqzQrzthSkARvGn,2
Killstation,0zPILh9oEH0fDagpkHTQQ8,2
1nonly,3ZHU5AKrUmIPnCFfr82QER,2
Disturbed,3TOqt5oJwL9BE2NG9MEwDa,2
CORPSE,7yntSJ6uojO3z6GFUVwhAW,2
Scarlxrd,6rYogEVj60BCIsLukpAnwr,2
Made By Tsuki,4m4hXRwfSmgdC6MRC4OhPo,2
HUZU,2fl5ukvYoPJoLG8oMMSLdM,2
Witchouse 40k,7chdPv6Kx0frN0lKfppD2J,2
Ghostface Playa,5xegBBY3vjR75woVR9kiy7,2
Live Solum,24wU3BBK0ZKIiSZq3zi9ZV,2
Getter,3QryVD03gGZOLQQXjy3EoA,2
Ghostemane,3uL4UpqShC4p2x1dJutoRW,2
Lord Gasp,26fmgj9vUob3WnTDojZxBw,2
Yung Yogi,7KxIuXA0hEMJEwPmbSYk2O,2
Pharmacist,6VlPp1wb53ANKMIwZPJfM0,2
SXMPRA,14uo609t1MvRGZcskySt9R,2
MUPP,7B9Gg9epjQzfNGdxijFczG,2
Sadfriendd,4UT0p3ljEiD472lZp44KLH,2
KSLV Noh,2ElMqlv5py0QFIVXUff627,2
Kiraw,3yAqBJSMpsseHSCtbJNlc4,2
Jasiah,7502fDxg339jvGV08Jd4R0,2
Yung Bans,6WkUZyqghQei2G809wMKuZ,2
DEHA INC.,2qW4eDZVrF6mlcuaTBEMjh,2
GRiNGO,5Sjj30aHCmKcM9SdVX7PBK,2
6ix9ine,7gZfnEnfiaHzxARJ2LeXrf,2
Rooler,2lpFs8QJyIeVDb2Sq4vZYi,2
Savage Ga$p,0x7qiZJaal6j8qS7yCydFk,2
$atori Zoom,75RLThQWzIgIM7Jtp6KZic,2
OmenXIII,760kxYHN5QTrD1DehiimjB,2
Shakewell,1w7GLktHE8w0aEhhaZ0QKB,2
Pouya,4nXOZlYoAD67hF9aUEncMY,2
Erick the Architect,2mQLwfvZtvtTbipKn3xHmK,2
Khontkar,1iJrQKRh5aJnp6cG5lpITr,2
Ben Fero,2kS0jWMkkFBL0mrl0VotD0,2
Freddie Dredd,0dlDsD7y6ccmDm8tuWCU6F,2
Bearded Legend,2JvDmwhrBiIlSwUI7QHvqe,2
MoonDeity,5ja9cfKWW8Zj9aloyK8WuY,2
REDZED,3FCo1sUkVbwKnO2m0Z7Bp9,2
SWIRF,1PDcVWGthnDkYv57hoQSpG,2
13 Killoki,2ivdJjs8c34cBxVmNI6zSK,2
sharkboy,7eEiDNxx0ZlaXHkn74qOrM,2
Yeat,3qiHUAX7zY4Qnjx8TNUzVx,2
ITSOKTOCRY,2BUUAEl4BwFRA9NBDgMWSf,2
Lil Peep,2kCcBybjl3SAtIcwdWpUe3,2
Lil Tracy,5g63iWaMJ2UrkZMkCC8dMi,2
Summer Cem,3drqpTL4sQOckmAfF9i1wg,2
Miksu / Macloud,4MTUkhq0tNAsiDyRPxqm3f,2
UZI,51DevdOxIJin6DB1FXJpD1,2
Aykut Closer,4DdarB5cR90h2EOgrRNM8P,2
OG Ron C,2LQF8AgyQUgLfquM92Rx8N,2
Slowboy,65FHTCI8EmW94W0TdWb8ja,2
lucaf.,6D9zCyDfKoioQD2vYKxOdI,2
Crazy Mano,6QwlKB1hO357wh5oNuuInl,2
Dragon Boys,2qW1dvYTdC1fGOYyTqzaLy,2
Furkan Karakılıç,419dPBqnjp9M1SPNlne291,2
Sakorphe,4DZ5WAz204QjKXcZVPAARX,2
KÖK$VL,5fO16dsHVrojWL2mPzcdpq,2
KUTE,0S1mAPM0pgJZil5FCqhQTX,2
Organize,5W2dGRPmYetOpUIpErUtD3,2
Astral,7g6rPQyaKLwHpM6JB4lByD,2
B4TU INC.,0JVl2O7TNYlEc6Lc2jHW3o,2
EX,2RL1fxftHZRkaF1JQ62gaV,2
SCXR SOUL,6yxKWJK7XtaOMK2j9FXqSC,2
Sx1nxwy,0vX16aPLB5IGeyzFDHBm6T,2
Ufo361,5pVRwX5ZQR7hfJ18w8ZYkl,2
Ezhel,6LnJKrtFnTEGdbWQ2riWCL,2
g3ox_em,0Zw2ivPEDptvMHwCXjhdRs,2
$NOT,5IbEL2xjRtKsunfmsahLuO,2
Mertigo,7dGzFmeNpNaMBtmOcvIDqO,2
Lucerina,09Dl9cjeo9oXfJfMuuQCp1,2
waynn10,7DuoECLPJMoceXq2CSXAMG,2
XATASHI,02BMPJbCTip0cSHomYl07g,2
slxughter,1M02J1PLobtQYok93DEvVa,2
ДЕТИ RAVE,73AXOp3t6ik1YiJjINRvMm,2
6YNTHMANE,24YUNOEuu3kf4OOtC8cQE5,2
RXDXVIL,54HaZmktN1cmdL8Ygdrmzz,2
Brutalismus 3000,6LtXxYMIiKSy2EGHnz1f5j,2
Motionless In White,6MwPCCR936cYfM1dLsGVnl,2
Henrique Camacho,2NTtIgPZyELENThAeqfvR6,2
Fatality,4YQOU9GVYBYVJmdmGkDQh1,2
DJ Blyatman,6yFfHsTW76VoXts5QDvQgv,2
Russian Village Boys,1AsruX0vcpmL1O82dfWZBD,2
Pozle,5ZP65l78WPZimUs9LVvMW0,2
dlb,1na8hI8tGXjXRf0U5gX3iX,2
ALRT,4XH5qVwKcWRS0Z6tr85exf,2
Sleepy Chows,5aWQFWWhzp922qrrJIAwUY,2
Antomage,6xqmiKO95KxwEiz8BQQauZ,2
Bromage,1aAW5k56ulsXw0ZEm6PpOS,2
Ski Mask The Slump God,2rhFzFmezpnW82MNqEKVry,2
XXXTENTACION,15UsOTVnJzReFVN1VCnxy4,2
Hensonn,0snouHYzOWSgxRBYMQsa3H,2
Never Get Used To People,0j5kVHxvTgUN4nBIPKCLRJ,2
KXNVRA,5UJkhYfIETGF5PMO0DT3aj,2
Sagath,4K7kAAsdwnIHjgRk28OyOi,2
Shade Apollo,49YT4oaAgV4kk9ilVyUQmG,2
Phonkha,5LloPEToP2oZZGdSmh1TFU,2
zecki,3hmaJ9tTvaDVTrJyHPO9T0,2
MC ORSEN,2DXPtOc14uPVvK7qggj2a3,2
Warlord Colossus,5gYimn2wODaiKOTFJlzVnn,2
Lyson,5qSqbVmHM1dtIazNNyTP7c,2
fkbambam,1BZ5smaHoDSI2a61ErUch6,2
Original God,2P2zYG7Y8nNHrn6Sk7yLlz,2
DR MØB,3BxW2wyYPKUAlvmbOWxiDe,2
Hollywood Undead,0CEFCo8288kQU7mJi25s6E,2
Gio Pika,3ZOk6bDH8ORFWZUA4qvevR,2
Ashnikko,3PyJHH2wyfQK3WZrk9rpmP,2
Kanye West,5K4W6rqBFWDnAN6FQUkS6x,2
JAY-Z,3nFkdlSjzX9mRTtwJOzDYB,2
Linkin Park,6XyY86QOPPrYVGvF9ch6wz,2
Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,2
Eminem,7dGJo4pcD2V6oG8kP0tJRR,2
Coolio,3y24n3XhZ96wgwRXjvS17T,2
L.V.,2LhsePRtgCo4THVKULQBL7,2
DJ Snake,540vIaP2JwjQb9dm3aArA4,2
Lil Jon,7sfl4Xt5KmfyDs2T3SVSMK,2
Vance Joy,10exVja0key0uqUkk6LJRT,2
Pitbull,0TnOYISbd1XYRBk9myaseg,2
John Ryan,3s73tswJycj6HTBNNN393z,2
James Hype,43BxCL6t4c73BQnIJtry5v,2
Miggy Dela Rosa,45ruzGUmIr8WLjLOPJ9mGU,2
Central Cee,5H4yInM5zmHqpKIoMNAx4r,2
Lil Baby,5f7VJjfbwm532GiveGC0ZK,2
Fort Minor,7dWYWUbO68rXJOcyA7SpJk,2
Styles Of Beyond,5bf6yYgHODBW5EreBZshpX,2
Hanumankind,4nVa6XlBFlIkF6msW57PHp,2
Kalmi,6tYCSHLtTI54AQJFOMfU45,2
Tommy Richman,1WaFQSHVGZQJTbf0BdxdNo,2
Chris Martin,0LQoZQIV0mIs0y0XQb0Sw2,2
Dr. Dre,6DPYiyq5kWVQS4RGwxzPC7,2
Snoop Dogg,7hJcb9fa4alzcOq3EaNPoG,2
Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,2
50 Cent,3q7HBObVc0L8jNeTe5Gofh,2
Soulja Boy,6GMYJwaziB4ekv1Y6wCDWS,2
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,2
Olivia,5YBSzuCs7WaFKNr7Bky0Uf,2
Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,2
Eternxlkz,3Xd2WSaNywx5gn1pgRPFjF,2
Dyan Dxddy,12Swjg82MNiUOfl1GB3XFx,2
HISTED,5Z56BMrvQB2rBAa5kffTPD,2
TXVSTERPLAYA,4Rd0aHKGS9BdLYSXVvFjv5,2
SXID,3eTy7yvRHnpPKY4hNCfYYX,2
Bibi Babydoll,6R26kGib2ubbZJMh7kKVGV,2
LXNGVX,5IpS1TN1Crp8Ym4zjiIrtK,2
ZWE1HVNDXR,33rnQWadiG2aauIwIxPxfB,2
yatashigang,2GBDI5PSiEnVoH0YnFFRLx,2
VISXGE,6kLsCQ1gKvJmjmC8XbfqFE,2
Future,1RyvyyTE3xzB2ZywiAwp0i,2
Roddy Ricch,757aE44tKEUQEqRuT6GnEB,2
Playboi Carti,699OTQXzgjhIYAHMy9RyPD,2
ThxSoMch,4MvZhE1iuzttcoyepkpfdF,2
Tion Wayne,7b79bQFziJFedJb75k6hFt,2
Russ Millions,3glwpkS2UIcYp8vojjnbr5,2
ArrDee,7m0BsF0t3K9WQFgKoPejfk,2
E1 (3x3),63ebc5zUpJ36aoTDQJHa9B,2
ZT (3x3),2uIRmVaCVpHQjaVgph5clS,2
Bugzy Malone,4Dokdwa3WB7ilQ2c2qvIBL,2
Buni,5AiY4bxeXerLXx03JADdQv,2
Fivio Foreign,14CHVeJGrR5xgUGQFV5BVM,2
Darkoo,4QSTyDpxsKmv3UfavVUImR,2
Armani White,2qAwMsiIjTzlmfAkXKvhVA,2
Fly Project,2Rum2rwDio2My0Md24m3Oa,2
Marshmello,64KEffDW9EtZ1y2vBYgq8T,2
Khalid,6LuN9FCkKOj5PcnpouEgny,2
Cardi B,4kYSro6naA4h99UJvo89HB,2
Bad Bunny,4q3ewBCX7sLwd24euuV69X,2
J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,2
Dillon Francis,5R3Hr2cnCCjt220Jmt2xLf,2
Van Halen,2cnMpRsOVqtPMfq7YiFE6K,2
Cascada,0N0d3kjwdY2h7UVuTdJGfp,2
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,2
L.B. One,42D00VQsIgAb68LZK0zWYS,2
Datamotion,3WRpjWyNwcmnM6UzQqBRfg,2
Perly I Lotry,7aIbYf49waEyLNCyBG4BsG,2
Gorillaz,3AA28KZvwAUcZuOKwyblJQ,2
Flux Pavilion,7muzHifhMdnfN1xncRLOqk,2
Olivia Dean,00x1fYSGhdqScXBRpSj3DW,2
Tove Styrke,2QSPrJfYeRXaltEEiriXN9,2
Metrik,2NCEtX40i9lLNpTg2X5583,2
ShockOne,1yShtQaHjChbToQboKRzgH,2
Sam Feldt,20gsENnposVs2I4rQ5kvrf,2
Kimberly Anne,3dfslm6CkJXlsvGSQxGgxt,2
EDX,7GMot9WvBYqhhJz92vhBp6,2
Kygo,23fqKkggKUBHNkbKtXEls4,2
OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,2
Alan Walker,7vk5e3vY1uw9plTHJAMwjN,2
Ruben,0x3PXj1WnuW7YsBxQK57xM,2
Mike Posner,2KsP6tYLJlTBvSUxnwlVWa,2
Seeb,5iNrZmtVMtYev5M9yoWpEq,2
Major Lazer,738wLrAtLtCtFOLvQBXOXp,2
MØ,0bdfiayQAKewqEvaU6rXCv,2
Tones And I,2NjfBq1NflQcKSeiDooVjY,2
Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,2
Paloma Faith,4fwuXg6XQHfdlOdmw36OHa,2
JC Stewart,2TAqN8fwfaKauvviN4pOsv,2
Future Humans,4BXM7ghfjufutCDfJfXdIl,2
Madism,5UUdxfBMwm0hLlLgnZtBFv,2
Jessie Reyez,3KedxarmBCyFBevnqQHy3P,2
Steve Void,3WSK3JppX3N41XHVwQp7Gt,2
Edessa,0JJHjoNFPKLqQdsl0sPQ5i,2
Delta Jack,5qFj5cdUuvWmzYx03PsDjY,2
"Hi, I’m Claude",51yuwEVeGE42oYIfQ9JxQg,2
conorlarkman,27TscSZ21QKrnNM51ZYRYh,2
Alec Benjamin,5IH6FPUwQTxPSXurCrcIov,2
AJR,6s22t5Y3prQHyaHWUN1R1C,2
ILOVEMAKONNEN,3aGFCoR8xGN6DKwvdzeSja,2
Fall Out Boy,4UXqAaa6dQYAk18Lv7PEgX,2
Nina Nesbitt,7AzjETXRUKNRSJHMW9GIqd,2
Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,2
Galantis,4sTQVOfp9vEMCemLw50sbu,2
Bastille,7EQ0qTo7fWT7DPxmxtSYEc,2
James Gillespie,6wlk4iqaEgEvADMVG6QMd8,2
Gryffin,2ZRQcIgzPCVaT9XKhXZIzh,2
Kayla Rae Haywood,43G7qlx7v7OGJJrUTXIqLq,2
RY X,2KjAo6wVc9d2WcxdxSArpV,2
Wallows,0NIPkIjTV8mB795yEIiPYL,2
Clairo,3l0CmX0FuQjFxr8SK7Vqag,2
Weezer,3jOstUTkEu2JkjvRdBA5Gu,2
Catfish and the Bottlemen,2xaAOVImG2O6lURwqperlD,2
Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,2
Calvin Harris,7CajNmpbOovFoOoasH2HaY,2
Rag'n'Bone Man,4f9iBmdUOhQWeP7dcAn1pf,2
Little Mix,3e7awlrlDSwF3iM0WBjGMp,2
Ty Dolla $ign,7c0XG5cIJTrrAgEC3ULPiq,2
Rudimental,4WN5naL3ofxrVBgFpguzKo,2
Jess Glynne,4ScCswdRlyA23odg9thgIO,2
Chronixx,2oZcMYiKpjaA2Et5mU3RPP,2
Jade Bird,7D8LuVnlyu91ndcPe70j7S,2
Alessia Cara,2wUjUUtkb5lvLKcGKsKqsR,2
Hozier,2FXC3k01G6Gw61bmprjgqS,2
Kehlani,0cGUm45nv7Z6M6qdXYQGTX,2
Sam Smith,2wY79sveU1sp5g7SokKOiI,2
Normani,2cWZOOzeOm4WmBJRnD5R7I,2
Kane Brown,3oSJ7TBVCWMDMiYjXNiCKE,2
James TW,0B3N0ZINFWvizfa8bKiz4v,2
5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,2
Julia Michaels,0ZED1XzwlLHW4ZaG4lOT6m,2
X Ambassadors,3NPpFNZtSTHheNBaWC82rB,2
Giant Rooks,5wD0owYApRtYmjPWavWKvb,2
The Chainsmokers,69GGBxA162lTqCwzJG5jLp,2
Winona Oak,3XC57xz74X3xUi1hv4mge1,2
Ben Platt,6qGkLCMQkNGOJ079iEcC5k,2
Jack & Jack,1INuLZXjjVbcJRyWvD1iSq,2
Bring Me The Horizon,1Ffb6ejR6Fe5IamqA5oRUF,2
Tom Walker,7z2avKuuiMAT4XZJFv8Rvh,2
SHAED,3KwmxIhSe9UTSEF37kwngR,2
Robin Schulz,3t5xRXzsuZmMDkQzgOX35S,2
Erika Sirola,1OHw2r7Diz2rc9JktaFV6N,2
Lost Kings,3hyEbRtp617pNCuuQjyOmc,2
Wiz Khalifa,137W8MRPWKqSmrBGDBFSop,2
Social House,5UjifI1TYefXWn9GdqDOHl,2
Loren Gray,3MbrazQE12UdSdFunXcft1,2
Oliver Tree,6TLwD7HPWuiOzvXEa3oCNe,2
Within Temptation,3hE8S8ohRErocpkY7uJW4a,2
Sigrid,4TrraAsitQKl821DQY42cZ,2
Grace Carter,2LuHL7im4aCEmfOlD4rxBC,2
Band Of Skulls,4ddt8PPvmWrI9mJQy1VrIG,2
Westlife,5Z1CCuBsyhEHngq3U5IraY,2
Dermot Kennedy,5KNNVgR6LBIABRIomyCwKJ,2
Rhys Lewis,4T2k9bgIoC8bbqjqiEl9vZ,2
HRVY,28y6CyJNkGNjJQKrlx4AmN,2
Martin Jensen,4ehtJnVumNf6xzSCDk8aLB,2
Bjørnskov,16EmDsIYHYtxgSNfjEYPf8,2
James Smith,543ccHFPnZfJMD8tRGPtu7,2
Brokecove,4C15YwHvsX3aZnDd2uvO5b,2
Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,2
Lil Wayne,55Aa2cqylxrFIXC767Z865,2
Post Malone,246dkjvS1zLTtiykXe5h60,2
