artist_name,number_of_appearances,brand_id
The Weeknd,346,10
Dua Lipa,298,10
Coldplay,282,10
Rihanna,279,10
Billie Eilish,276,10
David Guetta,276,10
Ed Sheeran,275,10
Calvin Harris,270,10
Bruno Mars,263,10
Ariana Grande,263,10
Justin Bieber,254,10
Beyoncé,252,10
Drake,251,10
Lady Gaga,250,10
Sia,249,10
Taylor Swift,242,10
Sam Smith,232,10
Pharrell Williams,229,10
Shakira,213,10
Madonna,211,10
Tiësto,210,10
Elton John,209,10
Miley Cyrus,209,10
Harry Styles,208,10
Lana Del Rey,207,10
Kendrick Lamar,203,10
J Balvin,200,10
Nicki Minaj,200,10
SZA,197,10
Kanye West,197,10
Daft Punk,194,10
Maroon 5,191,10
Katy Perry,191,10
Post Malone,189,10
Selena Gomez,188,10
Doja Cat,188,10
Imagine Dragons,185,10
Bad Bunny,185,10
Khalid,183,10
Justin Timberlake,182,10
Queen,179,10
JAY-Z,178,10
Diplo,177,10
OneRepublic,175,10
Shawn Mendes,173,10
Disclosure,172,10
Mark Ronson,171,10
DJ Snake,171,10
Michael Jackson,170,10
Kygo,169,10
Mariah Carey,168,10
Britney Spears,167,10
KAROL G,166,10
Pitbull,165,10
Ellie Goulding,164,10
Black Eyed Peas,163,10
ROSALÍA,162,10
Jennifer Lopez,162,10
Marshmello,161,10
Sean Paul,161,10
Daddy Yankee,160,10
Future,160,10
Adele,159,10
Avicii,159,10
Chris Brown,159,10
Christina Aguilera,158,10
Halsey,158,10
Charli xcx,157,10
David Bowie,155,10
Maluma,155,10
Alicia Keys,154,10
Camila Cabello,154,10
Travis Scott,153,10
The Chainsmokers,152,10
Snoop Dogg,152,10
Robin Schulz,150,10
Whitney Houston,149,10
Eminem,148,10
P!nk,147,10
John Legend,146,10
Ty Dolla $ign,146,10
RAYE,146,10
USHER,146,10
Jason Derulo,146,10
Tame Impala,145,10
Sabrina Carpenter,140,10
Major Lazer,139,10
Lil Wayne,138,10
Ozuna,136,10
Bebe Rexha,136,10
Fleetwood Mac,135,10
Bee Gees,135,10
PNAU,133,10
Kylie Minogue,132,10
Anderson .Paak,131,10
Hozier,130,10
Marvin Gaye,130,10
Charlie Puth,130,10
Purple Disco Machine,126,10
Wiz Khalifa,126,10
Flo Rida,126,10
Tove Lo,125,10
Farruko,125,10
Frank Ocean,125,10
Clean Bandit,124,10
Lost Frequencies,123,10
Rauw Alejandro,123,10
Swedish House Mafia,123,10
Jess Glynne,122,10
Kali Uchis,122,10
Florence + The Machine,122,10
MEDUZA,121,10
Stevie Wonder,121,10
Miguel,121,10
Cardi B,121,10
Arctic Monkeys,120,10
Swae Lee,120,10
The Cure,120,10
Troye Sivan,119,10
Ne-Yo,118,10
A$AP Rocky,117,10
Frank Sinatra,116,10
Martin Garrix,116,10
Meghan Trainor,116,10
The Beatles,115,10
U2,115,10
"Earth, Wind & Fire",115,10
Akon,115,10
Nelly Furtado,115,10
Nile Rodgers,115,10
Kungs,114,10
Young Thug,114,10
21 Savage,114,10
ABBA,113,10
Empire Of The Sun,113,10
Gorillaz,112,10
Anitta,112,10
Sebastian Yatra,112,10
Jax Jones,112,10
Alok,111,10
Jonas Blue,111,10
Annie Lennox,111,10
Skrillex,111,10
Ava Max,111,10
Jungle,110,10
Cyndi Lauper,109,10
Robbie Williams,109,10
Peggy Gou,109,10
AFROJACK,109,10
