subgenre_name,number_of_appearances,main_genre,brand_id
lo-fi,1637,3,10
lo-fi beats,1235,1,10
afro house,1195,1,10
tech house,1112,1,10
classical,1075,10,10
melodic house,1068,1,10
lounge,982,11,10
techno,944,5,10
melodic techno,943,1,10
organic house,903,1,10
jazz,832,8,10
chill house,778,1,10
nu disco,777,7,10
phonk,760,5,10
funky house,724,1,10
afrobeat,724,6,10
tribal house,710,1,10
deep house,704,1,10
latin house,689,1,10
progressive house,678,1,10
hyperpop,677,2,10
tropical house,653,1,10
disco house,635,1,10
slap house,617,1,10
bass house,613,1,10
amapiano,613,1,10
flamenco,610,4,10
bossa nova,587,8,10
latin indie,568,4,10
gqom,555,6,10
turkish pop,547,2,10
french pop,526,2,10
minimal techno,526,1,10
afrobeats,520,7,10
afropop,515,2,10
j-pop,513,2,10
acid techno,498,1,10
future bass,496,1,10
sludge metal,492,9,10
bollywood,487,6,10
trance,478,1,10
opera,475,10,10
stoner rock,475,3,10
mandopop,470,2,10
worship,468,2,10
reggae,466,7,10
doom metal,462,9,10
c-pop,458,2,10
indian indie,448,3,10
g-house,445,1,10
thai pop,444,2,10
drum and bass,443,1,10
jazz beats,441,8,10
afro soul,435,7,10
nu jazz,429,8,10
downtempo,428,1,10
v-pop,424,2,10
italo dance,421,2,10
funk,405,7,10
hindi indie,398,3,10
mpb,394,4,10
anime,391,2,10
hard techno,390,1,10
taiwanese pop,388,2,10
norwegian pop,384,2,10
future house,381,1,10
italo disco,381,2,10
desi,378,6,10
t-pop,372,2,10
musicals,371,11,10
j-r&b,368,7,10
laïko,363,6,10
indie dance,362,1,10
indonesian pop,361,2,10
nova mpb,359,4,10
french house,352,1,10
german hip hop,352,5,10
flamenco pop,348,6,10
space rock,338,3,10
tamil pop,336,2,10
hardcore punk,336,9,10
dancehall,334,6,10
gospel,333,7,10
drift phonk,333,1,10
uk garage,330,1,10
opm,323,2,10
lo-fi house,320,1,10
highlife,319,6,10
latin alternative,318,4,10
chanson,317,11,10
j-rap,316,5,10
ambient,313,1,10
japanese indie,313,2,10
salsa,312,4,10
k-pop,310,2,10
cumbia,310,4,10
piano house,308,1,10
children's music,308,11,10
brazilian funk,302,4,10
alté,302,6,10
christian,301,12,10
classical piano,298,10,10
progressive trance,297,1,10
punk,294,3,10
reggaeton,293,4,10
entehno,292,6,10
acid jazz,289,8,10
bolero,284,4,10
chicago house,282,1,10
stutter house,281,1,10
house,280,1,10
jazz rap,280,5,10
jazz funk,279,8,10
chamber music,279,10,10
hindi pop,277,2,10
hi-nrg,276,7,10
city pop,276,2,10
big room,275,1,10
hardcore,271,9,10
big band,270,11,10
post-punk,269,3,10
zouk,269,4,10
christmas,268,11,10
acid house,268,1,10
finnish pop,268,2,10
samba,265,4,10
kizomba,265,4,10
