playlist_name,playlist_id,id
Best Songs Ever,1IMxg7e2dwhawHaoBfWWIH,1
"Bach, J.S.: Organ Works",0odoqvp5UQ4g80ODiidFKm,2
Gene Harris plays the Standards,3NhcYwnSqua8GvXr6CaJOY,2
Art Tatum plays the Standards,6tWPJUtZpirdmGNiEN350O,2
Michel Petrucciani plays the Standerds,7APAkuNFxsB1VSf0IwDOb4,2
Tommy flanagan plays the Standards,4eq3xjVcNYNGbml8echc3C,2
Bill Evans plays the Standards,46n7ErQxUozLsfxkEOyFLp,2
Chick Corea plays the Standards,0F2KPIqWSlCC77O6GEJ4Cf,2
Bobby Timmons plays the Standards,23txGXuUiuNAREJydyOwuT,2
Sonny Clark plays the Standards,1aBDKAf74xNonM7l1fmzlK,2
Red Garland plays the Standards,2PuWUXZeRr0kcm64Slm3Gk,2
"Bach, J.S.: Organ Works",0odoqvp5UQ4g80ODiidFKm,2
Gene Harris plays the Standards,3NhcYwnSqua8GvXr6CaJOY,2
Art Tatum plays the Standards,6tWPJUtZpirdmGNiEN350O,2
Michel Petrucciani plays the Standerds,7APAkuNFxsB1VSf0IwDOb4,2
Tommy flanagan plays the Standards,4eq3xjVcNYNGbml8echc3C,2
Bill Evans plays the Standards,46n7ErQxUozLsfxkEOyFLp,2
Chick Corea plays the Standards,0F2KPIqWSlCC77O6GEJ4Cf,2
Bobby Timmons plays the Standards,23txGXuUiuNAREJydyOwuT,2
Sonny Clark plays the Standards,1aBDKAf74xNonM7l1fmzlK,2
Red Garland plays the Standards,2PuWUXZeRr0kcm64Slm3Gk,2
Mozart,0k0QTUm3AQHyA1GsCdu7pY,2
Gene Harris plays the Standards,3NhcYwnSqua8GvXr6CaJOY,2
Art Tatum plays the Standards,6tWPJUtZpirdmGNiEN350O,2
Michel Petrucciani plays the Standerds,7APAkuNFxsB1VSf0IwDOb4,2
Tommy flanagan plays the Standards,4eq3xjVcNYNGbml8echc3C,2
Bill Evans plays the Standards,46n7ErQxUozLsfxkEOyFLp,2
Chick Corea plays the Standards,0F2KPIqWSlCC77O6GEJ4Cf,2
Bobby Timmons plays the Standards,23txGXuUiuNAREJydyOwuT,2
Sonny Clark plays the Standards,1aBDKAf74xNonM7l1fmzlK,2
Red Garland plays the Standards,2PuWUXZeRr0kcm64Slm3Gk,2
Gene Harris plays the Standards,3NhcYwnSqua8GvXr6CaJOY,2
Art Tatum plays the Standards,6tWPJUtZpirdmGNiEN350O,2
Michel Petrucciani plays the Standerds,7APAkuNFxsB1VSf0IwDOb4,2
Tommy flanagan plays the Standards,4eq3xjVcNYNGbml8echc3C,2
Bill Evans plays the Standards,46n7ErQxUozLsfxkEOyFLp,2
Chick Corea plays the Standards,0F2KPIqWSlCC77O6GEJ4Cf,2
Bobby Timmons plays the Standards,23txGXuUiuNAREJydyOwuT,2
Sonny Clark plays the Standards,1aBDKAf74xNonM7l1fmzlK,2
Red Garland plays the Standards,2PuWUXZeRr0kcm64Slm3Gk,2
3310 Dining-JAMMIN'/Slow R&B Soul  ,3dDuzHYyVoJbDsQP7sSbwx,2
Meu Verão Brasil ✌🏼,00hEjNe3OBE1C9ooiR2UIV,3
bossa | diária,5alYUj2HYhBmLvreNGUhxM,3
Paris Vip Turismo,4g40EvOyGyejzm8Nu14T3h,3
Kari’ Oka,2AeGkgyRaMSJQIj43BqjNf,3
Lounge,2LmbGEmKTCNIB1xfsonzKV,3
Melhores Católicas,6eXxzXDrSCcd4FBxNtCozw,3
