artist_name,artist_id,brand_id
Guns N' Roses,3qm84nBOXUEQ2vnTfUTTFC,1
Nirvana,6olE6TJLqED3rqDCT0FyPh,1
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,1
Led Zeppelin,36QJpDe2go2KgaRleHCDTp,1
The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,1
Bob Dylan,74ASZWbe4lXaubB36ztrGX,1
Aretha Franklin,7nwUJBm0HE4ZxD3f5cy5ok,1
Queen,1dfeR4HaWDbWqFHLkxsg1d,1
David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,1
Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,1
Pink Floyd,0k17h0D3J5VfsdmQ1iZtE9,1
Michael Jackson,3fMbdgg4jU18AjLCKBhRSm,1
Madonna,6tbjWDEIzxoDsBA1FuhfPW,1
Prince,5a2EaR3hamoenG9rDuVn8j,1
U2,51Blml2LZPmy7TTiAg47vQ,1
Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,1
Sting,0Ty63ceoRnnJKVEYP0VQpk,1
TLC,0TImkz4nPqjegtVSMZnMRq,1
R.E.M.,4KWTAlx2RvbpseOGMEmROg,1
Beyoncé,6vWDO969PvNqNYHIOW5v0m,1
JAY-Z,3nFkdlSjzX9mRTtwJOzDYB,1
Amy Winehouse,6Q192DXotxtaysaqNPy5yR,1
Adele,4dpARuHxo51G3z768sgnrY,1
Taylor Swift,06HL4z0CvFAxyc27GXpf02,1
Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,1
Dire Straits,0WwSkZ7LtFUFjGjMZBMt6T,1
Simon & Garfunkel,70cRZdQywnSFp9pnc2WTCE,1
Fresco Blu,26a92NFeUsnU9NdCHGL6pY,1
The Doors,22WZ7M8sxp5THdruNY3gXt,1
Bee Gees,1LZEQNv7sE11VDY3SdxQeN,1
Alanis Morissette,6ogn9necmbUdCppmNnGOdi,1
Ray Charles,1eYhYunlNJlDoQhtYBvPsi,1
Eagles,0ECwFtbIWEVNwjlrfc6xoL,1
The Police,5NGO30tJxFlKixkPSgXcFE,1
George Harrison,7FIoB5PHdrMZVC3q2HE5MS,1
PSY,2dd5mrQZvg6SmahdgVKDzh,1
Shakira,0EmeFodog0BfCgMzAIvKQp,1
Wyclef Jean,7aBzpmFXB4WWpPl2F7RjBe,1
Luis Fonsi,4V8Sr092TqfHkfAA5fXXqG,1
Daddy Yankee,4VMYDCV2IEDYJArk749S6m,1
The White Stripes,4F84IBURUo98rz4r61KF70,1
Britney Spears,26dSoYclwsYLMAKD3tpOr4,1
a-ha,2jzc5TC5TVFLXQlBNiIUzE,1
Pharrell Williams,2RdwBSPQiwcmiDo9kixcl8,1
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,1
Black Eyed Peas,1yxSLGMDHlW21z4YXirZDS,1
Oasis,2DaxqgrOhkeH0fpeiQq2f4,1
Justin Bieber,1uNFoZAHBGtllmzznpCI3s,1
Gorillaz,3AA28KZvwAUcZuOKwyblJQ,1
Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,1
John Legend,5y2Xq6xcjJb2jVM54GHK3t,1
No Doubt,0cQbJU1aAzvbEmTuljWLlF,1
Sia,5WUlDfRSoLAfcVSX1WnrxN,1
Linkin Park,6XyY86QOPPrYVGvF9ch6wz,1
ABBA,0LcJLqbBmaGUft1e9Mm8HV,1
Survivor,26bcq2nyj5GB7uRr558iQg,1
Rihanna,5pKCCKE2ajJHZ9KAiaK11H,1
Bon Jovi,58lV9VcRSjABbAbfWS6skp,1
4 Non Blondes,0Je74SitssvJg1w4Ra2EK7,1
Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,1
Santana,6GI52t8N5F02MxU0g5U69P,1
Rob Thomas,3aBkeBhwadnWMWoVJ2CxJC,1
Donna Summer,2eogQKWWoohI3BSnoG7E2U,1
Buena Vista Social Club,11kBu957KTYoAltZHDm8gW,1
Backstreet Boys,5rSXSAkZ67PYJSvpUpkOr7,1
Van Halen,2cnMpRsOVqtPMfq7YiFE6K,1
Gloria Gaynor,6V6WCgi7waF55bJmylC4H5,1
