artist_name,number_of_appearances,brand_id
The Weeknd,346,1
Dua Lipa,298,1
Coldplay,282,1
Rihanna,279,1
Billie Eilish,276,1
David Guetta,276,1
Ed Sheeran,275,1
Calvin Harris,270,1
Bruno Mars,263,1
Ariana Grande,263,1
Justin Bieber,254,1
Beyoncé,252,1
Drake,251,1
Lady Gaga,250,1
Sia,249,1
Taylor Swift,242,1
Sam Smith,232,1
Pharrell Williams,229,1
Shakira,213,1
Madonna,211,1
Tiësto,210,1
Elton John,209,1
Miley Cyrus,209,1
Harry Styles,208,1
Lana Del Rey,207,1
Kendrick Lamar,203,1
J Balvin,200,1
Nicki Minaj,200,1
SZA,197,1
Kanye West,197,1
Daft Punk,194,1
Maroon 5,191,1
Katy Perry,191,1
Post Malone,189,1
Selena Gomez,188,1
Doja Cat,188,1
Imagine Dragons,185,1
Bad Bunny,185,1
Khalid,183,1
Justin Timberlake,182,1
Queen,179,1
JAY-Z,178,1
Diplo,177,1
OneRepublic,175,1
Shawn Mendes,173,1
Disclosure,172,1
Mark Ronson,171,1
DJ Snake,171,1
Michael Jackson,170,1
Kygo,169,1
Mariah Carey,168,1
Britney Spears,167,1
KAROL G,166,1
Pitbull,165,1
Ellie Goulding,164,1
Black Eyed Peas,163,1
ROSALÍA,162,1
Jennifer Lopez,162,1
Marshmello,161,1
Sean Paul,161,1
Daddy Yankee,160,1
Future,160,1
Adele,159,1
Avicii,159,1
Chris Brown,159,1
Christina Aguilera,158,1
Halsey,158,1
Charli xcx,157,1
David Bowie,155,1
Maluma,155,1
Alicia Keys,154,1
Camila Cabello,154,1
Travis Scott,153,1
The Chainsmokers,152,1
Snoop Dogg,152,1
Robin Schulz,150,1
Whitney Houston,149,1
Eminem,148,1
P!nk,147,1
John Legend,146,1
Ty Dolla $ign,146,1
RAYE,146,1
USHER,146,1
Jason Derulo,146,1
Tame Impala,145,1
Sabrina Carpenter,140,1
Major Lazer,139,1
Lil Wayne,138,1
Ozuna,136,1
Bebe Rexha,136,1
Fleetwood Mac,135,1
Bee Gees,135,1
PNAU,133,1
Kylie Minogue,132,1
Anderson .Paak,131,1
Hozier,130,1
Marvin Gaye,130,1
Charlie Puth,130,1
Purple Disco Machine,126,1
Wiz Khalifa,126,1
Flo Rida,126,1
Tove Lo,125,1
Farruko,125,1
Frank Ocean,125,1
Clean Bandit,124,1
Lost Frequencies,123,1
Rauw Alejandro,123,1
Swedish House Mafia,123,1
Jess Glynne,122,1
Kali Uchis,122,1
Florence + The Machine,122,1
MEDUZA,121,1
Stevie Wonder,121,1
Miguel,121,1
Cardi B,121,1
Arctic Monkeys,120,1
Swae Lee,120,1
The Cure,120,1
Troye Sivan,119,1
Ne-Yo,118,1
A$AP Rocky,117,1
Frank Sinatra,116,1
Martin Garrix,116,1
Meghan Trainor,116,1
The Beatles,115,1
U2,115,1
"Earth, Wind & Fire",115,1
Akon,115,1
Nelly Furtado,115,1
Nile Rodgers,115,1
Kungs,114,1
Young Thug,114,1
21 Savage,114,1
ABBA,113,1
Empire Of The Sun,113,1
Gorillaz,112,1
Anitta,112,1
Sebastian Yatra,112,1
Jax Jones,112,1
Alok,111,1
Jonas Blue,111,1
Annie Lennox,111,1
Skrillex,111,1
Ava Max,111,1
Jungle,110,1
Cyndi Lauper,109,1
Robbie Williams,109,1
Peggy Gou,109,1
AFROJACK,109,1
Amy Winehouse,108,1
Childish Gambino,108,1
Depeche Mode,108,1
Fred again..,108,1
The Rolling Stones,107,1
Felix Jaehn,107,1
Lykke Li,107,1
Enrique Iglesias,107,1
Labrinth,107,1
Zedd,107,1
Zara Larsson,107,1
Demi Lovato,107,1
The Killers,106,1
Wham!,106,1
Sofi Tukker,105,1
Nicky Jam,105,1
Alesso,105,1
Gwen Stefani,104,1
Elvis Presley,103,1
Macklemore,103,1
Elderbrook,103,1
Anne-Marie,103,1
ZAYN,103,1
