subgenre_name,number_of_appearances,main_genre,brand_id
lo-fi,1637,3,1
lo-fi beats,1235,1,1
afro house,1195,1,1
tech house,1112,1,1
classical,1075,10,1
melodic house,1068,1,1
lounge,982,11,1
techno,944,5,1
melodic techno,943,1,1
organic house,903,1,1
jazz,832,8,1
chill house,778,1,1
nu disco,777,7,1
phonk,760,5,1
funky house,724,1,1
afrobeat,724,6,1
tribal house,710,1,1
deep house,704,1,1
latin house,689,1,1
progressive house,678,1,1
hyperpop,677,2,1
tropical house,653,1,1
disco house,635,1,1
slap house,617,1,1
bass house,613,1,1
amapiano,613,1,1
flamenco,610,4,1
bossa nova,587,8,1
latin indie,568,4,1
gqom,555,6,1
turkish pop,547,2,1
french pop,526,2,1
minimal techno,526,1,1
afrobeats,520,7,1
afropop,515,2,1
j-pop,513,2,1
acid techno,498,1,1
future bass,496,1,1
sludge metal,492,9,1
bollywood,487,6,1
trance,478,1,1
opera,475,10,1
stoner rock,475,3,1
mandopop,470,2,1
worship,468,2,1
reggae,466,7,1
doom metal,462,9,1
c-pop,458,2,1
indian indie,448,3,1
g-house,445,1,1
thai pop,444,2,1
drum and bass,443,1,1
jazz beats,441,8,1
afro soul,435,7,1
nu jazz,429,8,1
downtempo,428,1,1
v-pop,424,2,1
italo dance,421,2,1
funk,405,7,1
hindi indie,398,3,1
mpb,394,4,1
anime,391,2,1
hard techno,390,1,1
taiwanese pop,388,2,1
norwegian pop,384,2,1
future house,381,1,1
italo disco,381,2,1
desi,378,6,1
t-pop,372,2,1
musicals,371,11,1
j-r&b,368,7,1
laïko,363,6,1
indie dance,362,1,1
indonesian pop,361,2,1
nova mpb,359,4,1
french house,352,1,1
german hip hop,352,5,1
flamenco pop,348,6,1
space rock,338,3,1
tamil pop,336,2,1
hardcore punk,336,9,1
dancehall,334,6,1
gospel,333,7,1
drift phonk,333,1,1
uk garage,330,1,1
opm,323,2,1
lo-fi house,320,1,1
highlife,319,6,1
latin alternative,318,4,1
chanson,317,11,1
j-rap,316,5,1
ambient,313,1,1
japanese indie,313,2,1
salsa,312,4,1
k-pop,310,2,1
cumbia,310,4,1
piano house,308,1,1
children's music,308,11,1
brazilian funk,302,4,1
alté,302,6,1
christian,301,12,1
classical piano,298,10,1
progressive trance,297,1,1
punk,294,3,1
reggaeton,293,4,1
entehno,292,6,1
acid jazz,289,8,1
bolero,284,4,1
chicago house,282,1,1
stutter house,281,1,1
house,280,1,1
jazz rap,280,5,1
jazz funk,279,8,1
chamber music,279,10,1
hindi pop,277,2,1
hi-nrg,276,7,1
city pop,276,2,1
big room,275,1,1
hardcore,271,9,1
big band,270,11,1
post-punk,269,3,1
zouk,269,4,1
christmas,268,11,1
acid house,268,1,1
finnish pop,268,2,1
samba,265,4,1
kizomba,265,4,1
vocal jazz,263,8,1
dubstep,263,1,1
dub,262,7,1
ragga,262,6,1
orchestra,259,10,1
dark trap,259,5,1
tango,258,4,1
nederpop,258,2,1
desi hip hop,257,5,1
witch house,256,1,1
neoclassical,256,10,1
punjabi pop,253,2,1
swing music,252,8,1
turkish hip hop,252,5,1
variété française,250,6,1
singer-songwriter,247,13,1
brazilian bass,247,1,1
brazilian jazz,246,8,1
bassline,246,1,1
german pop,245,2,1
finnish hip hop,242,5,1
bhangra,241,6,1
country,239,12,1
italian trap,239,5,1
chinese indie,239,2,1
malay,238,6,1
devotional,237,13,1
dub techno,237,14,1
trip hop,236,2,1
russelåter,234,6,1
jazz fusion,232,8,1
synthpop,231,2,1
liquid funk,231,1,1
roots reggae,230,7,1
pinoy r&b,229,7,1
idm,228,1,1
chinese r&b,228,7,1
rap nacional,227,5,1
rock en español,227,3,1
hard bop,224,8,1
drill,224,5,1
grime,222,1,1
merengue,222,4,1
arabesque,222,6,1
jungle,221,1,1
kollywood,221,6,1
mexican indie,220,4,1
eurodance,219,2,1
lullaby,219,14,1
latin jazz,218,8,1
melodic bass,218,1,1
metalcore,218,9,1
shoegaze,217,3,1
electroclash,216,3,1
khaleeji,216,6,1
dream pop,214,2,1
drone,214,1,1
neo soul,213,7,1
cool jazz,213,8,1
k-ballad,213,7,1
pinoy hip hop,213,5,1
vietnamese hip hop,211,5,1
indie folk,210,13,1
tekno,209,1,1
smooth jazz,207,8,1
latin hip hop,205,5,1
choral,205,10,1
sufi,203,6,1
hindi hip hop,202,5,1
psychedelic rock,201,3,1
french jazz,201,8,1
uk funky,200,1,1
j-rock,200,3,1
cantopop,199,2,1
punjabi hip hop,198,5,1
blues,195,15,1
synthwave,195,2,1
moombahton,193,1,1
new wave,192,3,1
breakbeat,191,1,1
afroswing,191,6,1
alternative r&b,190,7,1
hiplife,189,6,1
east coast hip hop,188,5,1
disco,188,7,1
darkwave,186,3,1
pop urbaine,185,6,1
chillstep,184,1,1
vietnam indie,184,6,1
retro soul,182,7,1
americana,182,12,1
hardstyle,182,1,1
edm trap,182,1,1
argentine rock,180,3,1
malay pop,179,2,1
trap,178,5,1
cold wave,178,1,1
emo rap,178,5,1
post-disco,177,7,1
portuguese hip hop,177,5,1
northern soul,176,7,1
brazilian evangelical music,176,4,1
bhajan,176,14,1
shibuya-kei,176,2,1
arabic rap,176,5,1
norwegian rap,176,5,1
kuduro,175,6,1
dark ambient,173,1,1
telugu pop,172,6,1
banda,172,4,1
metal,170,9,1
celtic,170,6,1
azonto,170,6,1
chinese hip hop,170,5,1
bebop,169,8,1
raï,169,6,1
minimalism,168,10,1
soundtrack,167,11,1
ska,166,3,1
glitch,166,14,1
chillwave,165,3,1
epadunk,165,1,1
thai hip hop,165,5,1
vinahouse,164,1,1
schlager,164,2,1
taiwanese indie,164,2,1
