artist_name,number_of_appearances,brand_id
Ed Sheeran,515,2
David Guetta,448,2
Rihanna,443,2
Beyoncé,437,2
Dua Lipa,423,2
Ariana Grande,421,2
Justin Bieber,420,2
Taylor Swift,415,2
Calvin Harris,412,2
Bruno Mars,399,2
Lady Gaga,383,2
Nicki Minaj,376,2
The Weeknd,375,2
Miley Cyrus,374,2
Sia,369,2
P!nk,362,2
Coldplay,358,2
Sam Smith,351,2
Elton John,349,2
Katy Perry,347,2
Eminem,312,2
JAY-Z,310,2
Billie Eilish,310,2
Justin Timberlake,307,2
Christina Aguilera,305,2
Sean Paul,301,2
Pitbull,300,2
Whitney Houston,299,2
Anne-Marie,296,2
Drake,292,2
Harry Styles,288,2
Kanye West,287,2
Maroon 5,286,2
Britney Spears,285,2
Queen,285,2
Ellie Goulding,285,2
Little Mix,278,2
Meghan Trainor,275,2
Adele,275,2
Jason Derulo,275,2
OneRepublic,274,2
Camila Cabello,272,2
Flo Rida,271,2
Selena Gomez,267,2
Pharrell Williams,266,2
Mark Ronson,264,2
Mariah Carey,263,2
Shakira,263,2
Demi Lovato,263,2
Imagine Dragons,262,2
Post Malone,262,2
Chris Brown,262,2
Avicii,260,2
Khalid,259,2
Clean Bandit,257,2
Jess Glynne,252,2
Cardi B,251,2
Madonna,251,2
Shawn Mendes,250,2
Tiësto,250,2
Becky Hill,249,2
Lizzo,246,2
Lewis Capaldi,245,2
Kelly Clarkson,243,2
Bebe Rexha,242,2
George Ezra,242,2
Charli xcx,242,2
Black Eyed Peas,241,2
The Killers,240,2
Jennifer Lopez,240,2
Ne-Yo,240,2
Zara Larsson,239,2
USHER,239,2
ABBA,238,2
Timbaland,235,2
Snoop Dogg,233,2
RAYE,233,2
Jax Jones,233,2
Kesha,232,2
Marshmello,228,2
Halsey,226,2
Florence + The Machine,226,2
Kygo,225,2
Doja Cat,224,2
Ava Max,220,2
Rita Ora,218,2
Daddy Yankee,218,2
Ella Henderson,217,2
One Direction,217,2
John Legend,217,2
J Balvin,216,2
The Chainsmokers,216,2
Nelly Furtado,216,2
Michael Jackson,214,2
Joel Corry,213,2
Macklemore,212,2
James Arthur,211,2
Fleetwood Mac,211,2
Olivia Rodrigo,209,2
Spice Girls,208,2
Wham!,208,2
Hozier,207,2
SZA,206,2
Alicia Keys,206,2
Diplo,205,2
will.i.am,205,2
Jonas Blue,205,2
Rudimental,204,2
Lil Wayne,201,2
Sigala,201,2
Destiny's Child,200,2
Lana Del Rey,200,2
Kylie Minogue,199,2
Ty Dolla $ign,196,2
Wiz Khalifa,196,2
MNEK,195,2
Calum Scott,193,2
Jessie J,191,2
Backstreet Boys,190,2
Akon,190,2
Disney,190,2
Ludacris,189,2
Robin Schulz,188,2
Mabel,187,2
Stormzy,187,2
Bastille,186,2
Avril Lavigne,184,2
Labrinth,184,2
Kendrick Lamar,183,2
Natasha Bedingfield,183,2
Bryan Adams,183,2
Jonas Brothers,183,2
David Bowie,183,2
Oasis,182,2
Nelly,181,2
DJ Snake,180,2
Shania Twain,180,2
Cher,180,2
Train,180,2
U2,180,2
Amy Winehouse,179,2
Niall Horan,179,2
Dermot Kennedy,178,2
Panic! At The Disco,178,2
Macklemore & Ryan Lewis,178,2
Daft Punk,178,2
Stevie Wonder,178,2
Disclosure,176,2
Wyclef Jean,174,2
Gwen Stefani,174,2
Sabrina Carpenter,172,2
Major Lazer,171,2
T-Pain,170,2
Arctic Monkeys,170,2
Bon Jovi,169,2
50 Cent,168,2
French Montana,168,2
Céline Dion,167,2
Ella Eyre,166,2
Missy Elliott,166,2
The Beatles,166,2
Charlie Puth,166,2
The Script,165,2
Felix Jaehn,165,2
Michael Bublé,165,2
Robbie Williams,165,2
Future,164,2
Luis Fonsi,164,2
Lil Nas X,162,2
T.I.,161,2
Tate McRae,161,2
Julia Michaels,160,2
AFROJACK,160,2
Phil Collins,159,2
TLC,158,2
Cyndi Lauper,158,2
Billy Joel,158,2
Galantis,157,2
George Michael,157,2
Bruce Springsteen,157,2
Dolly Parton,156,2
Green Day,156,2
Linkin Park,155,2
Tones And I,155,2
Kings of Leon,155,2
Olly Alexander (Years & Years),155,2
Elvis Presley,154,2
MEDUZA,154,2
Carly Rae Jepsen,154,2
Young Thug,154,2
Megan Thee Stallion,154,2
Fall Out Boy,153,2
Zedd,153,2
Annie Lennox,153,2
Bad Bunny,152,2
ZAYN,152,2
Lily Allen,152,2
Swedish House Mafia,152,2
Swae Lee,150,2
Kelly Rowland,150,2
Jason Mraz,149,2
DJ Khaled,149,2
MK,149,2
WALK THE MOON,148,2
Topic,148,2
Martin Garrix,147,2
Tom Grennan,147,2
Craig David,147,2
Tyga,147,2
The Pussycat Dolls,144,2
Paramore,144,2
Tom Odell,142,2
Shaggy,142,2
Noah Kahan,142,2
Tinie Tempah,142,2
The Kid LAROI,142,2
5 Seconds of Summer,141,2
Leona Lewis,141,2
Birdy,141,2
Aretha Franklin,141,2
Outkast,141,2
Enrique Iglesias,141,2
Alessia Cara,140,2
Rag'n'Bone Man,139,2
Teddy Swims,139,2
Busta Rhymes,139,2
Vance Joy,138,2
James Bay,137,2
Liam Payne,136,2
Tina Turner,136,2
Journey,136,2
Alesso,136,2
Red Hot Chili Peppers,136,2
The Cranberries,136,2
Dr. Dre,135,2
Fergie,135,2
Olly Murs,135,2
Ryan Lewis,134,2
