subgenre_name,number_of_appearances,main_genre,brand_id
musicals,992,23,2
classical,644,27,2
drum and bass,586,16,2
trance,518,16,2
lo-fi,504,18,2
german hip hop,482,20,2
reggae,464,22,2
tech house,454,16,2
worship,432,17,2
funk,416,22,2
dancehall,415,21,2
celtic,415,21,2
afro house,414,16,2
funky house,413,16,2
disco house,409,16,2
gospel r&b,409,22,2
melodic house,396,16,2
christmas,394,23,2
techno,389,20,2
tropical house,382,16,2
deep house,368,16,2
nu disco,365,22,2
christian,356,26,2
chanson,351,23,2
piano house,350,16,2
melodic techno,342,16,2
desi,342,21,2
bollywood,341,21,2
lo-fi beats,341,16,2
french pop,339,17,2
jazz,337,24,2
ragga,323,21,2
turkish pop,322,17,2
dansktop,321,26,2
hardstyle,320,16,2
children's music,319,23,2
uk garage,318,16,2
variété française,318,21,2
gospel,316,22,2
eurodance,310,17,2
german pop,306,17,2
latin house,301,16,2
schlager,298,17,2
progressive house,293,16,2
slap house,293,16,2
country,287,26,2
grime,284,16,2
afrobeat,281,21,2
lounge,281,23,2
opera,277,27,2
jungle,273,16,2
liquid funk,269,16,2
flamenco,269,19,2
acid house,268,16,2
tribal house,267,16,2
brazilian funk,265,19,2
bassline,260,16,2
schlagerparty,258,18,2
afrobeats,257,22,2
chicago house,257,16,2
k-pop,257,17,2
chill house,256,16,2
progressive trance,256,16,2
mpb,255,19,2
salsa,252,19,2
bhangra,247,21,2
future house,246,16,2
reggaeton,244,19,2
french house,238,16,2
italo dance,231,17,2
big room,226,16,2
nederpop,222,17,2
brazilian hip hop,222,20,2
hindi pop,221,17,2
orchestra,220,27,2
disco,216,22,2
funk carioca,216,20,2
roots reggae,215,22,2
hard house,214,16,2
organic house,214,16,2
bass house,213,16,2
flamenco pop,208,21,2
afroswing,206,21,2
soul jazz,206,24,2
merengue,206,19,2
house,201,16,2
metal,200,25,2
bossa nova,199,24,2
drill,195,20,2
uk funky,195,16,2
afropop,195,17,2
hardcore,193,25,2
cumbia,193,19,2
dub,192,22,2
christian pop,192,17,2
lovers rock,191,18,2
happy hardcore,191,17,2
nu jazz,191,24,2
disco polo,191,17,2
italian singer-songwriter,190,18,2
swing music,189,24,2
eurotrance,189,16,2
laïko,189,21,2
lullaby,188,30,2
christian hip hop,187,20,2
soca,186,20,2
samba,184,19,2
zouk,183,19,2
ccm,182,17,2
pop worship,182,17,2
nova mpb,181,19,2
doo-wop,180,29,2
classical piano,178,27,2
soundtrack,178,23,2
italian trap,178,20,2
east coast hip hop,177,20,2
singer-songwriter,177,28,2
hands up,176,17,2
folk,173,28,2
kizomba,173,19,2
northern soul,171,22,2
jazz beats,171,24,2
chamber music,170,27,2
post-punk,168,18,2
riddim,166,20,2
frenchcore,166,25,2
dubstep,165,16,2
indie folk,165,28,2
proto-punk,165,18,2
big band,163,23,2
choral,162,27,2
latin jazz,160,24,2
russelåter,160,21,2
pop punk,159,18,2
c-pop,159,17,2
brazilian trap,159,19,2
g-house,158,16,2
minimal techno,157,16,2
americana,156,26,2
trip hop,156,17,2
pop urbaine,156,21,2
chillstep,155,16,2
swedish ballads,155,18,2
uk drill,154,17,2
stutter house,154,16,2
post-disco,153,22,2
new wave,153,18,2
neoclassical,153,27,2
downtempo,152,16,2
acid techno,151,16,2
breakbeat,151,16,2
future bass,150,16,2
rocksteady,150,18,2
sertanejo,150,19,2
ambient,149,16,2
italo disco,148,17,2
portuguese hip hop,148,20,2
vocal jazz,145,24,2
epadunk,145,16,2
arabesque,144,21,2
hi-nrg,143,22,2
neo soul,142,22,2
acid jazz,141,24,2
brazilian pop,141,17,2
lo-fi house,140,16,2
trap,140,20,2
brega funk,139,17,2
latin pop,138,17,2
boom bap,138,20,2
desi pop,138,17,2
jazz rap,137,20,2
blues,137,29,2
electro swing,136,23,2
underground hip hop,135,20,2
synthpop,133,17,2
metalcore,132,25,2
melbourne bounce,132,16,2
anime,132,17,2
punk,131,18,2
ska,131,18,2
rock en español,131,18,2
norwegian pop,130,17,2
latin alternative,128,19,2
flamenco urbano,128,19,2
moombahton,127,16,2
pagode,127,19,2
edm,126,16,2
dembow,126,19,2
t-pop,126,17,2
punjabi pop,125,17,2
alternative r&b,124,22,2
tekno,123,16,2
melodic metal,123,25,2
dark ambient,123,16,2
medieval,123,27,2
axé,123,19,2
jazz funk,122,24,2
power pop,122,17,2
kuduro,122,21,2
african gospel,122,21,2
post-hardcore,120,18,2
latin indie,120,19,2
phonk,119,20,2
turkish hip hop,119,20,2
blues rock,118,18,2
progressive rock,118,18,2
música tropical,118,19,2
glam rock,117,18,2
indie dance,116,16,2
alt country,116,26,2
mandopop,116,17,2
hardcore techno,115,17,2
son cubano,115,19,2
new jack swing,114,22,2
entehno,114,21,2
celtic rock,113,18,2
chill beats,113,30,2
hard techno,112,16,2
power metal,110,25,2
britpop,110,17,2
quiet storm,110,22,2
trap funk,110,16,2
psytrance,109,16,2
emo,109,18,2
melodic bass,108,16,2
dream pop,108,17,2
garage rock,108,18,2
timba,107,19,2
brega,107,26,2
southern hip hop,105,20,2
manele,105,20,2
baroque pop,104,17,2
folk pop,103,28,2
rockabilly,103,18,2
brazilian bass,102,16,2
electroclash,102,18,2
latin hip hop,102,20,2
psychedelic rock,101,18,2
gothic country,101,28,2
amapiano,101,16,2
christian alternative rock,100,18,2
motown,100,22,2
latin rock,100,18,2
